,Giro
TIENDA DE AUTOSEERVICIO ,1
venta de accesorio Y utencilios de marca,1
VENTA DE TERMOMAGNETICOS Y CONTROLES,1
COLEGIO PRIVADO,1
SERVICIO DE ALMACENAMIENTO;MANEJO Y DISTRIBUCION DE MERCANCIAS,1
ETIQUETAS ADHESIVAS,1
DILUYENTES QUIMICOS ,1
GYM,1
AL POR MAYOR,1
SERVICIOS INFORMATIVOS,1
COMERCIO AL POR MENOR DE TIENDAS DEPARTAMENTALES,1
TALLERES MECANICOS DE PRECISION ,1
INSTITUTO DE ESTUDIOS SUPERIORES,1
RENTA Y VENTA DE COPIADORAS,1
MATERIALES,1
ESCUELA DE COMPUTACION,1
RENTA DE BODEGAS MOVILES,1
SERV. PUBL DE RADIOTELEFONIA MOVIL TEC. CELULA R,1
VENTA REFACCIONES INDUSTRIALES,1
COMPRA VENTA DE ACERO,1
TEXTILES RECICLADOS,1
Textil; fabricaciÃ³n de hilo de costura y bordado ,1
FAB. DE MATERIAL DIDACTICO,1
CAFETERIA,1
VENTA DE ZAPATO,1
DISTRIBUCION; REFACCIONES Y SERVICIOSDE MOTOR ITALIKA,1
SERVICIOS DE CAPTURACIOS ,1
COMPRA VENTA DE ABARROTES Y ULTRAMARINOS,1
FABRICA DE MUEBLES TUBULARES,1
VENTA DE MAQUINARIA,1
VENTA  DE  LUBRICANTES,1
SERVICIOS PARA DECORACION,1
RENTA; VENTA DE EQUIPO AUDIOVISUAL Y DE COMPUTO,1
COMPRA VENTA Y PRODUCCIÃ“N DE CALCETA Y CALCETIN,1
SERVICIOS DE TRANSPORTES DE CARGA EN GENERAL,1
ELABORACION Y DISTRIBUCION DE CARNES FRIAS,1
COMERCIO AL POR MENOR DE TIENDAS DE ROPA Y CALZADO,1
CLUB SOCIAL Y DEPORTIVO ,1
VENTA DE PAPELERIA,1
FABRICACION DE CABLES AUTOMOTRICES,1
INDUSTRIA ALIMENTARIA,1
INSTITUTO DE EDUCACION MEDIA SUPERIOR ,1
FABRICACION DE HIELO,1
FABRICACION DE ETIQUETAS,1
VENTA DE REFACCIONES TEXTILES,1
OTRAS CONSTRUCCIONES DE INGENIERIA CIVIL U OBRA PESASDA,1
SERV. EDUCATIVOS PRIVADO,1
DISTRIBUIDORA DE PIEZAS AUTOMOTRICES Y EQUIPO INDUSTRIAL,1
ESCUELA MEDIA SUPERIOR,1
FABRICACION DE PLASTICO,1
ADMINISTRACION Y OPERACION DE LA CENTRAL DE AUTOBUSES,1
CORTE; PULIDO Y LAMINADO DE MARMOL,1
ESCUELA PRIMARIA PREESCOLAR Y SECUNDARIA,1
COMERCIO AL POR MENOR DE MATERIALES PARA LA CONSTRUCCION,1
RADIO COMUNICACIONES ,1
SERVICIO DE PUBLICIDAD Y ACTIVIDADES CONEXAS,1
ALMACENADORA,1
DESPERDICIO INDUSTRIAL ,1
COMPRA VENTA DE FIERRO Y ACERO PARA LA CONSTRUCCIÃ“N,1
CONSTRUCCION DE INMUEBLES COMERCIALES; ISTITUCIONALES Y DE SERVICIOS,1
